,Subject,Question,Answer,Topic
81,hopeful,I pray American will be great again.,Me too_comma_ he's so real. He loves what I love. MMA_comma_ poker_comma_ guns_comma_ WWE_comma_ hahahah,Actitud
82,hopeful,Getting a colonoscopy done.  I hope it turns out okay,My appointment is coming up,Actitud
83,hopeful,I'll be getting a raise in February.,It'll be around 25%.,Actitud
84,hopeful,I just got a new manager at work. She is really young but seems to be full of good ideals.,I plan to steer clear. I'm going to relocate in January so I just need to lay low. I hope she does a great job.,Actitud
85,hopeful,I am hoping the Eagles can win it all again this season!,Why do you like the eagles?,Actitud
86,hopeful,I have a promotion coming up in the next few weeks. I am hopeful that I will get a raise,that's awesome! I hope you will get a promotion. what do you do for work?,Actitud
87,hopeful,I am feeling this way in hopes that I get into grad school.,I really hope I get accepted into grad school.,Actitud
88,hopeful,I'm meeting a girl for a date at the zoo this afternoon.,What's your favorite exhibit at the zoo?,Actitud
89,hopeful,that i will find a better job ,I am staying very positive that this year even if it is coming close to an end I will find a better job! ,Actitud
90,hopeful,I am hoping to win the lottery this week!,I am hoping as well,Actitud
91,hopeful,Nephew plays football.  I hope he does great this year!,Yeah this is true!  I'll definitely take your advice! Thank you so much!,Actitud
92,hopeful,My husband and I are going to couples counseling. I am really positive that we can fix things and be happy.,Oh no. I'm sorry to hear you are going through a rough patch.,Actitud
93,hopeful,I really want to win the lottery someday_comma_ maybe i will? ,That would pretty amazing. What will you do with the winning?,Actitud
94,hopeful,Before I do feel that I will not make it in life_comma_ but later I felt expectant of my future,I expected something good_comma_ that was why things are working well for me now,Actitud
95,hopeful,I am feeling more positive about the future today. I am really trying to hold on to that feeling no matter what. It's hard!,That is good!  Why have you been feeling down about the future before?,Actitud
96,hopeful,It's birthday soon. I want to be a better person.,Birthday wishes come true. You will have to work at it still though.,Actitud
97,hopeful,I just applied for a new job.  After the interview_comma_ I'm very optimistic that I will get the position,I do!  I'm feeling very optimistic about it,Actitud
98,trusting,I have faith that I will get pregnant soon. Why is it so hard? Isn't that what a women's body is built to do?,Yeah_comma_ more people are having these issues these days. I think it may be true that someone may be poisoning us through the water and food or something! It is a scary world!,Actitud
99,proud,I just got a steam cleaner and used it for the first time yesterday. My carpets came out so clean!,I was in the market for a steam cleaner and did tons of research til I chose the best one.,Actitud
100,proud,I had a big final exam that I studied really hard for. I passed with an A and finished with a 4.0 for the semester. I couldnt be happier.,I did. I even ended up with a 4.0 for the whole semester. I was very happy I was able to achieve that.,Actitud
101,confident,I started my driving class last week. I'll finish the class within a month and drive the car without any help of others.,Are you going to buy a car?,Actitud
102,confident,I went in to the interview knowing that I had what it takes to land the job. I had prepared to the fullest extent and had all the skills they were looking for.,Nice! You sound like you prepared very well,Actitud
103,confident, I knew I was going to pass my final. I studied all week,I was confident about my final test. I had studied all week hard,Actitud
104,confident,i went in knowing i was going to do great on that test,Awesome! So happy for you my friend,Actitud
105,confident,I remember going to State Football Championship. I told my teammates on the bus before we got off that if anybody isn't ready to leave this field with the trophy stay on the bus. The whole bus was quiet. The bus driver looked at me and said I think you guys need the listen to him he doesn't look like he's playing. We eventually won that game . ,WE won 60 - 3 ,Actitud
106,confident,I knew it was going to be a good weekend last week. I just had a good feeling,ok,Actitud
107,confident,I know I can make a lotta money on here if I keep working.,Well keep looking something is out there for you,Actitud
108,confident,I have to make a tuna casserole for tomorrow.  I am sure I can do it well.,I bet it will be great - I've always loved a good tuna casserole!,Actitud
109,confident,I'm about to ask someone that I like out on a date. I'm pretty confident that she will say yes.,So there's a girl that I've been talking to lately... I'm thinking about asking her out.,Actitud
110,confident,I have my physics test tomorrow that I have been studying 10 days for_comma_ Never felt so ready in my life.,I have a physics test tomorrow. I think I can say that after 10 days of nonstop studying and copious amounts of adderall_comma_ I am finally ready.,Actitud
111,confident,I think I did very well in my work and will have a fantastic design to show my boss! I put so much effort into this it can't possibly be bad,That is a smart move by you.,Actitud
112,confident,We recently went on vacation with some friends to Disney world.  They had never been before and we are annual passholders so we have been several times over the last year.,We had a really good time on our vacation a couple of weeks ago.,Actitud
113,confident,I want to lose weight and i'm sure i can do it,You can. It will take some persistence. How's it going so far?,Actitud
114,confident,I was very sure I was getting the promotion I asked for.,I knew I was going to get the promotion I was up for.,Actitud
115,confident,I recently went surfing and surfed waves everyone else was afraid to. I was the man_comma_,Yes_comma_ I've been surfing for ever. Only three of us in the water. ,Actitud
116,confident,I had to take my final exam for a class last semester. I studied really hard for this exam. I went in sure that I was going to do great on it. I ended up getting the highest score in my class!,hard work pays off ,Actitud
117,confident,I am as sure as the sun will rise tomorrow that I will get this job promotion!,Thank you! I have worked so hard for so many years and finally it shows that someone paid attention. :),Actitud
118,confident,I think I can get everything I need to get accomplished before the end of summer.,What all do you have to get done?,Actitud
119,confident,I recently decided to start blogging again and feel pretty good about it. I used to have a decent sized audience_comma_ so hopefully I can build it back up.,I'm sure if you can let people know that you're back blogging_comma_ they'd come back to see what you're up to now!  What do you blog about?,Actitud
120,confident,My friend speaks 4 languages. I'm sure they'll get that interpreter job at the embassy.,Yea. English of course_comma_ then French_comma_ Spanisha and Chinese.,Actitud
121,confident,Going to a job interview soon and I think I got this!,It is great to be confident. I am sure you will knock the interview out of the park!,Actitud
122,confident,I feel I can do things on my own. I didn't always feel this way_comma_ so it's nice I am empowered now and can accomplish things on my own.,My resolve I guess? Nothing changed for the better but inside me at least I know I can do it on my own because it's 1000 times better than the alternative. I'll do whatever it takes.,Actitud
123,confident,I interviewed for a job.  I know I gave great answers to their questions and walked away feeling like I had the job.,I interviewed for a job.  I know I gave great answers to their questions and walked away feeling like the job was mine.,Actitud
124,excited,I can't even fall asleep waiting to go on our vacation. ,Oh_comma_ well that is a fine thing indeed! I would be  jumping up and down!,Actitud
125,excited,My brother and a bunch of our friends planned to go to a 15-person cottage in July. I could not wait for all the fun and games we would experience!,It's very close to a lake_comma_ it probably takes a two minute hike down through a patch of trees and tall grass to get there.,Actitud
126,excited,I was cooking some food recently. I made a hard to make recipe and it worked!,That is trivia. When i am hyped_comma_ i cook lasagna. I know that is hard to cook_comma_ but i mastered it all on my own,Actitud
127,excited,I will finally be getting a new phone soon_comma_ and I can't wait because my old one is almost dead.,I have a lot of anticipation in me right now. I will finally be able to get a new phone after all these years.,Actitud
128,excited,I am super hype for the new super smash bros_comma_ it looks so so good!,It comes out in December right? It would make a good holiday present!,Actitud
129,excited,I am so full of anticipation!  School starts on Monday!,that's a long time. You should be used to it,Actitud
130,excited,I've never had a lust for life like I do these days.  I literally wake up every day stoked that I'm living my dreams and can't wait to see how much money I can make,Yes you have no idea...still grinding it out everyday but it's totally worth it,Actitud
131,excited,A new skating rink is being built. Should be done in time for Winter skating!,That's great! I may look it up and go to their grand opening as well.,Actitud
132,excited,i cant wait for next week!,What's going on next week?,Actitud
133,excited,I can't wait until Halloween. I love scaring the little kids who come to my house_comma_ muhahah!,Ha! I've always loved the more festive Dia de los Muertos approach to the day rather than scare or gore! What's your favorite Halloween film?,Actitud
134,excited,I'm taking my kids to Six Flags this weekend! It'll be a surprise for them!,This weekend I'm taking my kids to Six Flags,Actitud
135,excited,I felt this way when my father bought me a Super Nintendo for  my 9th birthday. We were very poor so it was unexpected!,You still remember what you got for it?  It must have been memorable!  What was it?,Actitud
136,excited,I really had a fun time at our county fair a couple of days ago.,I took the family to our county fair a couple of days ago.,Actitud
137,excited,Just got a house for 10k. It's really broken down_comma_ but I hope it'll be nice after we fix it up.,thats cool.  i hope it works out for you,Actitud
138,excited,I'm excited for Red Dead Redemption 2 to come out.  Even though it's a couple months away,No worries_comma_ we all have our hobbies!,Actitud
139,excited,I'm going to building a gaming pc. This is my first time.,Wow. It can be difficult to put together but finding the parts is a lot of fun.,Actitud
140,excited,I have plans so go to the beach with my wife for a week next month.,I have plans so go to the beach with my wife for a week next month,Actitud
141,excited,I'm going to a drink and paint party tomorrow. It should be pretty fun!,My friend is having a drink and paint party. I've only been to one before but it was pretty fun. I can't wait.,Actitud
142,excited,I am going to meet up with a special friend I haven't seen for  years,That's pretty cool. I don't see my friends much since I moved.,Actitud
143,excited,Gareth Bale played his best in the champion's league final. I was thrilled after I watched his game.,Have you watched champion's league final?,Actitud
144,excited,I'm going to a drink and paint party tomorrow. It should be pretty fun!,Wow_comma_ that sounds like a fun and interesting time_comma_ but it sounds like there are a high chance for things to go south and be a huge mess,Actitud
145,excited,I was so thrilled to get concert tickets for a surprise show. It will be so fun!,The Strokes are playing this show on the fly in a month. It's so cool!,Actitud
146,excited,I finally thought my dog how to sit and give me her paw. I felt very accomplished and happy!,I finally thought my dog how to sit and give me her paw. I felt very accomplished and happy!,Actitud
147,excited,Recently we decided to rescue another kitten. We were so thrilled to be adding another furry member to our family and save a life.,That is great! Adopt_comma_ don't shop! Always a great motto!,Actitud
148,confident,This is gonna be a good year at school for me. Its going to be better than all the rest!,Thats a good outlook to have! What year are you on 1st_comma_ 2nd? ,Actitud
149,confident,For some reason if I get a good pump at the gym early in the morning_comma_ I feel like I can tackle any task on my to-do list for the day.,That's awesome. do you usually exercise in the mornings?,Actitud
150,joyful,I was very happy to get my new job,oh wow. we're practically neighbors.,Actitud
151,proud,I was held my head high when my mother received her Master's Degree after getting a GED after high school.,Yes_comma_ it is great! Even better she just received her Master's Degree at the tender age of 50!,Actitud
152,proud,I got all A's in my last semester.,Thanks! Yes_comma_ I think I did my best anyway.,Actitud
153,proud,My dog learned all of his tricks!,Oh great. That is so fun . My baby died a few years ago. But he was over 14 _comma_ so. ,Actitud
154,proud,My daughter win a medal for dancing in a competition. I glad to see her as a dancer.,I'm impressed_comma_ where did she win the medal?,Actitud
155,proud,My son won first place at his first spelling bee.,That's great!  Sounds like he's a smart kid!,Actitud
156,proud,My daughter got is going to university. I'm so happy. ,Thank you_comma_ I'm so proud,Actitud
157,proud,My little boy got on the bus this morning. He made me so happy for him.,That's so sweet. ,Actitud
158,proud,Finally got some yard work done _comma_ Love the smell of fresh cut grass.,I like getting things done in the yard_comma_but I feel so dirty afterwards.,Actitud
159,proud,I won a teaching award last year for my work with at-risk youth. ,It's nice to be recognized. What do you do for a living?,Actitud
160,proud,My school is low income_comma_ but we score in the top 5% statewide.,Yep. We get looked down on so much_comma_ but I think some schools are gonna rethink their attitudes now.,Actitud
161,proud,I was happy when my brother graduated college. I was just happy for him,I was happy when my brother finished college. He really did deserve it,Actitud
162,proud,One time in welding school I got 2 of my teachers a gig with a major contractor on FT benning building ADA code railing for th new hospital and centers and stuff_comma_,One time in welding school I got 2 of my teachers a gig with a major contractor on FT Benning building ADA code railing for th new hospital and centers and stuff_comma_,Actitud
163,proud,my daughter passed her drivers test on the first try,really scary.,Actitud
164,proud,My grandson just graduated high school. He was developmentally slow so we were amazed that he actaully graduated a year early!,You must be so proud. That really is a great accomplishment that he has made. Is he going to college?,Actitud
165,proud,I made an amazing pizza yesterday. Iwas very proud of it.,I love pizza. Did you make it by yourself or with friends?,Actitud
166,proud,My brother is getting married. I am so happy for him,I am not_comma_ I did not want to jinx it,Actitud
167,proud,I watched two of my daughters as they graduated from high school.,Oh_comma_ that's wonderful!  Tell them congratulations for me! You must be bursting with pride!  ,Actitud
168,proud,It makes me feel good when I see my friends realizing their dreams.,Some people get jealous when other people are doing well_comma_ so you are truely a good friend,Actitud
169,proud,Nephew playing football this year,That's exciting!  I hope he's doing well in school!,Actitud
170,proud,My niece is visiting and we have a pool.  She has not had access to a pool for most of her childhood ad does not know how to swim.  She is figuring it out very quickly though and her confidence is increasing as her skills do.  It's very exciting to watch her skills and confidence soar and she feels it too.,My niece can't swim but has is staying with us for a bit and we have a pool.  Her skills are increasing and her confidence is soaring!,Actitud
171,proud,I won first place in the marathon last weekend. I trained hard and deserved the win,That's pretty awesome. Do you usually run marathons?,Actitud
172,proud,My son just graduated from college. I cannot believe how fast time went.,Awesome. That is a huge accomplishment.,Actitud
173,proud,I was held my head high when my mother received her Master's Degree after getting a GED after high school.,You know she inspires me. She always reminds me of what hard work can do for you.,Actitud
174,joyful,Get to hang out and play cards with my girlfriend and her parents. Her parents are actually pretty laid back and fun to be around_comma_ so I'm looking forward to it. Glad I don't have to deal with overbearing in-laws like some people.,That's good. Were you nervous at first?,Actitud
175,joyful,When my first child was born I have never experienced so much happiness in my life.,Thank you! It is hard at times tho when getting little sleep.,Actitud
176,joyful,My company will give us a bonus because the quarter was good. I am happy.,I just went on a vaction with my kids. Its was so relaxing. Have fun,Actitud
177,joyful,I felt so happy seeing my high school friends last month. We were at our reunion,True! All those old memories started rushing in,Actitud
178,joyful,I've had family visiting for the past couple of days_comma_ some cousins and an uncle and aunt that I haven't seen a long time. It's always great to be reunited with family_comma_ especially after you get over that first initial weird social hump of feeling each other out after not having spoken for a long time. It's crazy to see how much the younger cousins have physically changed! Anyway_comma_ it's been a blast playing games and catching up with them.,wow thats great,Actitud
179,joyful,I cant believe my daughter performed so well in the recital. She practiced so hard for it,I cant believe my daughter performed so well in the recital.,Actitud
180,joyful,i am so happy that i am going to be a grandma,Yep. Happy and healthy is a blessing,Actitud
181,joyful,I was pretty happy to find out I was having a girl,I had her 7 months ago,Actitud
182,joyful,I am moving to new appartment. The new neighborhood is so nice. I am so happy that I found this appartment. ,That is so nice.  When do you move?,Actitud
183,joyful,I will be seeing my son tomorrow after  a month.,My son comes back tomorrow!,Actitud
184,joyful,I am going to eat some BBQ later.  I am so happy for it.,That sounds so good and the perfect way to spend a Sunday.,Actitud
185,joyful,I recently received my teaching certificate,thats so awesome good for you ,Actitud
186,prepared,Getting ready to file quarterly taxes and I have been very diligent with organization this year so I am prepared,I bought a big rubbermaid portable file box that has folders ,Actitud
187,joyful,Took the kiddos to the lake,That sound fun! I love to eat fresh fish!,Actitud
188,joyful,I'm very proud of my daughters.,I am very proud of my daughters.,Actitud
189,joyful,My dogs passed away 2 years ago. My family adopted me one this past weekend on my birthday.,My dogs passed away 2 years ago. My family adopted me one this past weekend on my birthday.,Actitud
190,joyful,I felt this way after the birth of my son.,What did you name him?,Actitud
191,joyful,Going to disney world in december!,Oh that's exciting! Have you gone before?,Actitud
192,joyful,I won a year of unlimited pizza. I'm so psyched.,It will save you a lot of money too,Actitud
193,joyful,I remember as a child when I got my Nintendo 64 how happy and excited I was. Best christmas memory I have.,Yea _comma_ I still play it sometimes for funs sake.,Actitud
194,joyful,i got a surprise gift in the mail,one time on my birthday i never expect much to me is just a regular day _comma_ then i get a package in the mail it was copic markers my friend mailed them to me from another state i was so happy,Actitud
195,joyful,I'm pretty happy that my daughters have a day off from school today.,Well_comma_ my daughters have a day off from school due to our state elections.,Actitud
196,joyful,I'm happy my package just arrived,im glad it came earlier,Actitud
197,joyful,I care a lot about all the little birds in my neighborhood. I am a sensitive soul and I just want to help every critter I see.,i dont want them to suffer either,Actitud
198,joyful,My best friend will come visit me on Friday_comma_ so I am feeling pretty good.,My best friend is coming to visit me this Friday.,Actitud
199,prepared,One year we had a scary hurricane warning_comma_ but thankfully with plenty of time to get ready for it. So I got batteries_comma_ beer_comma_ non-perishable foods. I was totally ready!,Wouldn't you know it totally missed my city. I was a little let down to be honest_comma_ though glad we were safe.,Actitud
