source,target
"I have been with my car insurance company for 30 years.","I have been with my car insurance company for 30 years."
"We had a big storm last summer_comma_ so this year I bought a ton of supplies in case we lost power or had flooding. Last year our basement got very damaged. ","Yeah its all repaired now. I also bought lots of food in case we loose power."
"I was happy when my brother graduated college. I was just happy for him","I was happy when my brother finished college. He really did deserve it"
"I'll be getting a raise in February.","It'll be around 25%."
"What is the name of the report published by the European Commission?","The European Commission has published a report on the 'breakthrough' technology of machine testing."
"Nephew plays football.  I hope he does great this year!","Yeah this is true!  I'll definitely take your advice! Thank you so much!"
"What is the name of the part of an algorithm?","An algorithm is a computer program that uses a set of instructions to solve a problem."
"I was working on a boat_comma_ and I had to hope that my friend didn't screw something up while I had my hands in the engine.","Gosh I hate it when I have to work on complicated parts in my boat engine_comma_ when my friend is helping me."
"It makes me feel good when I see my friends realizing their dreams.","Some people get jealous when other people are doing well_comma_ so you are truely a good friend"
"What is a graph definition?","A graph is a way to show information about a system or set."
"I am confident my brother will beat his cancer.","I am confident my brother will beat this cancer."
"I recently received my teaching certificate","thats so awesome good for you "
"My son won first place at his first spelling bee.","That's great!  Sounds like he's a smart kid!"
"What is the name of the paper that describes the use of ofrative models to train computer systems to discriminate between real and artificial examples?","This paper describes the use ofrative models to train computer systems to discriminate between real and artificial examples."
"One time in welding school I got 2 of my teachers a gig with a major contractor on FT benning building ADA code railing for th new hospital and centers and stuff_comma_","One time in welding school I got 2 of my teachers a gig with a major contractor on FT Benning building ADA code railing for th new hospital and centers and stuff_comma_"
"I felt this way after the birth of my son.","What did you name him?"
"My son just graduated from college. I cannot believe how fast time went.","Awesome. That is a huge accomplishment."
"I am moving to new appartment. The new neighborhood is so nice. I am so happy that I found this appartment. ","That is so nice.  When do you move?"
"Gareth Bale played his best in the champion's league final. I was thrilled after I watched his game.","Have you watched champion's league final?"
"I made an amazing pizza yesterday. Iwas very proud of it.","I love pizza. Did you make it by yourself or with friends?"
"What is a smart data definition?","Smart data is a technology that makes information more useful by using information."
"i went in knowing i was going to do great on that test","Awesome! So happy for you my friend"
"I have always  been faithful to my girlfiend of almost 3 years","So many people cheat nowadays. That's good to hear!"
"My brother and a bunch of our friends planned to go to a 15-person cottage in July. I could not wait for all the fun and games we would experience!","It's very close to a lake_comma_ it probably takes a two minute hike down through a patch of trees and tall grass to get there."
"What is the definition of a machine learning model?","A machine learning model is a file that has been trained to recognize certain types of patterns."
"I felt so happy seeing my high school friends last month. We were at our reunion","True! All those old memories started rushing in"
"I wanted to go out but needed someone to watch my kids. No one had ever babysat before. I let my sister watch them because I knew she would do a good job. ","Oh that's so great - and now you can feel comfortable leaving them with her more often!"
"I really had a fun time at our county fair a couple of days ago.","I took the family to our county fair a couple of days ago."
"What is the blockchain definition?","Blockchain technology is a new business model."
"What is the name of the robot created from a living frog embryo?","A robot that has been designed from scratch from a living frog embryo has been unveiled at a conference in Berlin. The European Society for the Study of Reproduction (ESSR)."
"What is the name of the new method developed?","A novel method for learning autoencoders has been developed."
"I am so full of anticipation!  School starts on Monday!","that's a long time. You should be used to it"
"What exactly is a metaverse?","A metaverse is a new way for people to explore the world."
"What test did it pass?","The BBC reported that a machine called DeepMind had passed the test for the first time."
"I was married to my wife for thirty years_comma_ and even though she has passed I can't bring myself to date anyone else.","Well_comma_ if that's how you feel then maybe it is best if you stay in the dugout and don't play the field. No shame in that."
"My little boy got on the bus this morning. He made me so happy for him.","That's so sweet. "
"I am as sure as the sun will rise tomorrow that I will get this job promotion!","Thank you! I have worked so hard for so many years and finally it shows that someone paid attention. :)"
"I just applied for a new job.  After the interview_comma_ I'm very optimistic that I will get the position","I do!  I'm feeling very optimistic about it"
"I won a teaching award last year for my work with at-risk youth. ","It's nice to be recognized. What do you do for a living?"
"I know I can make a lotta money on here if I keep working.","Well keep looking something is out there for you"
"I have been training for months for the race.","I'm sure all the work will be worth it in the end!"
"I was very sure I was getting the promotion I asked for.","I knew I was going to get the promotion I was up for."
"I just got a new manager at work. She is really young but seems to be full of good ideals.","I plan to steer clear. I'm going to relocate in January so I just need to lay low. I hope she does a great job."
"What exactly is a tabla hash?","A hash table is an important tool when looking for data."
"What exactly is a sobreajuste?","A new study shows that neural networks can be overfitted."
"What is the name of the tree?","The tree is a very important part of any learning process."
"What is the definition of metadata?","Metadata is a word that has been used by many people to describe data."
"I recently applied for a job at a new company. Getting this job would but such a step up for me and my family. It would really be great if I got it.","Well I hope you get it. Good luck!"
"I want to lose weight and i'm sure i can do it","You can. It will take some persistence. How's it going so far?"
"What is the tree's name?","The tree is an important part of learning though."
"It was my first time taking the DMV test. I went there rather early and aced the test.","Yes it was even though I was a bit nervous."
"What is the name of the tool that is used to learn how to use a website?","This is a very useful tool for learning how to use a website."
"I watched two of my daughters as they graduated from high school.","Oh_comma_ that's wonderful!  Tell them congratulations for me! You must be bursting with pride!  "
"im ready for next week!","what's happening next week?"
"My partner and I both work 24-hour shifts and tend to alternate shifts (I'll be at home hwen she's at work and she'll be at home when I'm at work). This can lead to some insecurities sometimes because not only are we away from each other alot_comma_ but we have a lot of time by ourselves where anyone could come over if they want to. I feel so lucky knowing that my wife has my best interest in mind. ","Ahh! We both enjoy it. Thanks for the thank you_comma_ though! :) "
"I think I did very well in my work and will have a fantastic design to show my boss! I put so much effort into this it can't possibly be bad","That is a smart move by you."
"One day my neighbor helped me in a risky situation. So I'm loyal to their family always.","Yeah_comma_ They helped me in the risky situation when I was alone."
"i went in knowing i was going to do great on that test","Awesome! So happy for you my friend"
"I was married to my wife for thirty years_comma_ and even though she has passed I can't bring myself to date anyone else.","Well_comma_ if that's how you feel then maybe it is best if you stay in the dugout and don't play the field. No shame in that."
"Nephew playing football this year","That's exciting!  I hope he's doing well in school!"
"I will be seeing my son tomorrow after  a month.","My son comes back tomorrow!"
"When I went into labor with my son_comma_ it was quite the ordeal. He was coming way too early and we had to rush to get him out. Thankfully_comma_ I had everything already packed beforehand!","Is he healthy?"
"What is a computer program that uses instructions or rules to solve problems?","An algorithm is a computer program that uses instructions or rules to solve problems."
"I've never had a lust for life like I do these days.  I literally wake up every day stoked that I'm living my dreams and can't wait to see how much money I can make","Yes you have no idea...still grinding it out everyday but it's totally worth it"
"My daughter win a medal for dancing in a competition. I glad to see her as a dancer.","I'm impressed_comma_ where did she win the medal?"
"I went in to the interview knowing that I had what it takes to land the job. I had prepared to the fullest extent and had all the skills they were looking for.","Nice! You sound like you prepared very well"
"i am so happy that i am going to be a grandma","Yep. Happy and healthy is a blessing"
"I'm very proud of my daughters.","I am very proud of my daughters."
"I'm pretty happy that my daughters have a day off from school today.","Well_comma_ my daughters have a day off from school due to our state elections."
"I just got a steam cleaner and used it for the first time yesterday. My carpets came out so clean!","I was in the market for a steam cleaner and did tons of research til I chose the best one."
"What is the algorithm's name?","An algorithm is a set of instructions. They are used to solve problems."
"I remember going to State Football Championship. I told my teammates on the bus before we got off that if anybody isn't ready to leave this field with the trophy stay on the bus. The whole bus was quiet. The bus driver looked at me and said I think you guys need the listen to him he doesn't look like he's playing. We eventually won that game . ","WE won 60 - 3 "
"What is the definition of blockchain?","The Blockchain technology is a new way of doing business."
"I'm spent all summer getting ready to write my thesis. I can't wait to get time to start.","I spent all summer getting ready to write my thesis. I can't wait to get time to start."
"when I had my test to get a new certification at work_comma_ I felt great about it because I had workd really hard and studied.","I had my test for a new certification at work.  I really wasn't that nervous for it though."
"What does data science mean?","Many universities and research institutions have been using the term data science for a long time."
"I can tell my best friend anything!","I usually ask her for advice and tell her embarrassing stories because she never snitches!"
"i felt trusting when my dad and my mon care for me","Well as a fellow human being_comma_ I agree that when parents care for their children_comma_ it creates a lifelasting bond between the two parties."
"I cant believe my daughter performed so well in the recital. She practiced so hard for it","I cant believe my daughter performed so well in the recital."
"I'm meeting a girl for a date at the zoo this afternoon.","What's your favorite exhibit at the zoo?"
"I was on a business trip last week spending some time at a local bar. There was a girl who was being flirty with me. I had to tell her that I was married and I couldn't play with her.","Last week on a business trip I spent some time at the bar. There was this girl who was really flirty with me. I had to tell her that I couldn't play with her because I was married."
"What is the definition of a variable dummy?","This article will show you how to create a dummy variable in Python."
"Vacation trip coming up hope it's awesome","Yeah I know!  It's going to be awesome!  Enjoy your day_comma_ friend!"
"What is the algoritm's name?","A cooking class is an opportunity for students to learn how to cook."
"What test did DeepMind pass?","The BBC reports that a machine called DeepMind has passed the Turing test for the first time."
"One day my neighbor helped me in a risky situation. So I'm loyal to their family always.","Yeah_comma_ They helped me in the risky situation when I was alone."
"I care a lot about all the little birds in my neighborhood. I am a sensitive soul and I just want to help every critter I see.","i dont want them to suffer either"
"What is the name of the command? What are the steps required to execute the given command?","The following example shows how to use the following commands. The following command will be executed when you type it."
"I'm excited for Red Dead Redemption 2 to come out.  Even though it's a couple months away","No worries_comma_ we all have our hobbies!"
"A new skating rink is being built. Should be done in time for Winter skating!","That's great! I may look it up and go to their grand opening as well."
"I was held my head high when my mother received her Master's Degree after getting a GED after high school.","You know she inspires me. She always reminds me of what hard work can do for you."
"It was my first time taking the DMV test. I went there rather early and aced the test.","Yes it was even though I was a bit nervous."
"What is the definition of a tree?","In this course we will be learning how to use a tree in a variety of ways."
"What is the term for the collection and analysis of large amounts of data?","Big Data is the collection and analysis of large amounts of data."
"I've got all my fishing gear packed up. I'm ready for tomorrow morning.","I've got all my fishing gear packed up. I'm ready for tomorrow morning."
"Once I was working on a big project with a bunch of people and made a mistake. One of the other people working on the project covered for me even though they didn't need to. ","did it boost your confidence and faith in mankind?"
"I felt this way when my father bought me a Super Nintendo for  my 9th birthday. We were very poor so it was unexpected!","You still remember what you got for it?  It must have been memorable!  What was it?"
"I was invited to church this last weekend. I went and felt very optimistic in the church.","I went to church with a friend recently."
"I'm very proud of my daughters.","I am very proud of my daughters."
"What is the goal of the project?","The research group in this project is developing an autoencoder for the decoding of audio signals."
"What is the name of the computer system developed by researchers at the University of Bristol?","A computer system that could be used to 'Turing complete' has been developed by researchers at the University of Bristol."
"I have faith that I will get pregnant soon. Why is it so hard? Isn't that what a women's body is built to do?","Yeah_comma_ more people are having these issues these days. I think it may be true that someone may be poisoning us through the water and food or something! It is a scary world!"
"I recently decided to start blogging again and feel pretty good about it. I used to have a decent sized audience_comma_ so hopefully I can build it back up.","I'm sure if you can let people know that you're back blogging_comma_ they'd come back to see what you're up to now!  What do you blog about?"
"I finally thought my dog how to sit and give me her paw. I felt very accomplished and happy!","I finally thought my dog how to sit and give me her paw. I felt very accomplished and happy!"
"I fully trust in my intuition and dreams.  They have gotten me this far and I'm going all the way to the top","These days I'm trusting my intuition and following my gut to achieve my goals.  They've gotten me this far and haven't let me down yet"
"What is the blockchain definition?","The Blockchain Foundation is a non-profit organization to promote the use of blockchain technology."
"I think I got everything I need for my job interview tomorrow. I got my fancy clothes and answers prepared for common questions they usually throw at u.","I think I got everything I need for my job interview tomorrow. I got my fancy clothes and answers prepared for common questions they usually throw at u."
"What is the name of the algorithm that Facebook uses to find out what you're interested in?","Facebook has revealed that it is using Edgerank to find out what you're most likely to be interested in on the site."
"I was cooking some food recently. I made a hard to make recipe and it worked!","That is trivia. When i am hyped_comma_ i cook lasagna. I know that is hard to cook_comma_ but i mastered it all on my own"
"I got all A's in my last semester.","Thanks! Yes_comma_ I think I did my best anyway."
"Before I do feel that I will not make it in life_comma_ but later I felt expectant of my future","I expected something good_comma_ that was why things are working well for me now"
"I have to make a tuna casserole for tomorrow.  I am sure I can do it well.","I bet it will be great - I've always loved a good tuna casserole!"
"I won first place in the marathon last weekend. I trained hard and deserved the win","That's pretty awesome. Do you usually run marathons?"
"My daughter starts public school for the first time in 3 years. I think she is going to do well","My daughter starts public school for the first time in 3 years! I think she is going to do great but she's a little bit nervous."
"I knew I was going to pass my drivers test. I just knew I would do well","I knew I was going to pass my drivers test. I knew I would do well"
"What is the definition of augmented reality?","The BBC's science and technology correspondent Nick Thorpe explains how augmented reality can be used to create new forms of media."
"I had been grinding at home trying to build my website when this girl I hadn't heard from since high school called. She said she was in town and wanted to catch up.  Deciding I needed a break from work I turned off my laptop_comma_ threw on some fresh khakis and air nikes and 2 condoms just in case.  Turned out it's always better safe than sorry.","They're known to cause erectile dysfunction? There's chemicals in the laces_comma_ dude! A conspiracy I tell you! Done by OBAMA!"
"I won a year of unlimited pizza. I'm so psyched.","It will save you a lot of money too"
"I knew I was going to pass my drivers test. I just knew I would do well","I knew I was going to pass my drivers test. I knew I would do well"
"I care a lot about all the little birds in my neighborhood. I am a sensitive soul and I just want to help every critter I see.","i dont want them to suffer either"
"god has done so much for me in my life. i owe everything to him","and i know he's going to come back for me and take me away from this place"
"What is the definition of sensors and actuators in the home?","The use of actuators and sensors in the home is growing."
"I am super hype for the new super smash bros_comma_ it looks so so good!","It comes out in December right? It would make a good holiday present!"
"When I had many problems or I was sad_comma_ I knew God was with me and the things were going to improve.","Can you facetime them?"
"Get to hang out and play cards with my girlfriend and her parents. Her parents are actually pretty laid back and fun to be around_comma_ so I'm looking forward to it. Glad I don't have to deal with overbearing in-laws like some people.","That's good. Were you nervous at first?"
"What does the Merkle tree look like?","The Merkle tree is a distributed ledger system. It can be used to store large amounts of information."
"What is the definition of tabla hash?","A hash table is a data structure that associates keys or keys with values."
"What exactly is a xenobot?","Xenobots are the latest in a long line of living machines."
"What is the PhD program topic at the University of Bristol?","The University of Bristol offers a data science PhD."
"My daughter got is going to university. I'm so happy. ","Thank you_comma_ I'm so proud"
"What is the definition of a hash function?","A Hash Function is a mathematical function that transforms a set of data into an alphanumeric code of fixed length."
"I've had family visiting for the past couple of days_comma_ some cousins and an uncle and aunt that I haven't seen a long time. It's always great to be reunited with family_comma_ especially after you get over that first initial weird social hump of feeling each other out after not having spoken for a long time. It's crazy to see how much the younger cousins have physically changed! Anyway_comma_ it's been a blast playing games and catching up with them.","wow thats great"
"I have been with my car insurance company for 30 years.","I have been with my car insurance company for 30 years."
"I'm going to see a film tonight and I am really crossing my fingers its good.","I think it's called the Happytime Murders. Some murder mystery/comedy with puppets."
"I won first place in the marathon last weekend. I trained hard and deserved the win","That's pretty awesome. Do you usually run marathons?"
"I went into that interviewing knowing i could answer any question they threw at me","yea im sure i'll get the job"
"What exactly is augmented reality?","The BBC's science and technology correspondent Nick Thorpe explains how the new technology can be used to create new media."
"3","A key to a long relationship is persistence_comma_ so keep at it! "
"What exactly is metadata?","Metadata is a word that many people use to describe information."
"What is the main function of aprendizaje?","This paper shows how to train an unsupervised learning algorithm group."
"I borrowed some money from my friend. I've a confidence I'll repay this month to him.","What a good friend to lend you money in your time of need. You should thank him and take him to dinner after everything is sorted."
"I had been grinding at home trying to build my website when this girl I hadn't heard from since high school called. She said she was in town and wanted to catch up.  Deciding I needed a break from work I turned off my laptop_comma_ threw on some fresh khakis and air nikes and 2 condoms just in case.  Turned out it's always better safe than sorry.","They're known to cause erectile dysfunction? There's chemicals in the laces_comma_ dude! A conspiracy I tell you! Done by OBAMA!"
"Going to a job interview soon and I think I got this!","It is great to be confident. I am sure you will knock the interview out of the park!"
"When I had many problems or I was sad_comma_ I knew God was with me and the things were going to improve.","Can you facetime them?"
"What is the definition of blockchain?","The Blockchain Foundation is a non-profit organisation that promotes the adoption of Blockchain technology."
"What is the technology that allows information to be transferred between computers?","Blockchain technology allows information to be transferred between computers."
"What exactly is a hash function?","A Hash function is a mathematical function. It can be used to get a certain number of information."
"I will be seeing my son tomorrow after  a month.","My son comes back tomorrow!"
"I recently decided to start blogging again and feel pretty good about it. I used to have a decent sized audience_comma_ so hopefully I can build it back up.","I'm sure if you can let people know that you're back blogging_comma_ they'd come back to see what you're up to now!  What do you blog about?"
"I was very happy to get my new job","oh wow. we're practically neighbors."
"We are wanting to buy a new house in the next year. I'm really hoping that it works out for us. We have needed something a little bigger for a while now.","Yes. I have 4 kids and we are living in a 3 bedroom and 1 bathroom right now. We definitely need another bathroom. lol"
"What is a computer graphics processing unit?","A graphics processing unit (GPU) is a special part of a computer. It is used to make graphics."
"Finally got some yard work done _comma_ Love the smell of fresh cut grass.","I like getting things done in the yard_comma_but I feel so dirty afterwards."
"What was the name of Alan Turing's work?","Alan Turing was a British computer scientist who developed the complete Turing complete."
"I recently went surfing and surfed waves everyone else was afraid to. I was the man_comma_","Yes_comma_ I've been surfing for ever. Only three of us in the water. "
"I'm going to a drink and paint party tomorrow. It should be pretty fun!","My friend is having a drink and paint party. I've only been to one before but it was pretty fun. I can't wait."
"I borrowed some money from my friend. I've a confidence I'll repay this month to him.","What a good friend to lend you money in your time of need. You should thank him and take him to dinner after everything is sorted."
"Getting ready to file quarterly taxes and I have been very diligent with organization this year so I am prepared","How much stuff did you have to go through?"
"I'm taking my kids to Six Flags this weekend! It'll be a surprise for them!","This weekend I'm taking my kids to Six Flags"
"My company will give us a bonus because the quarter was good. I am happy.","I just went on a vaction with my kids. Its was so relaxing. Have fun"
"I was very happy to get my new job","oh wow. we're practically neighbors."
"It's birthday soon. I want to be a better person.","Birthday wishes come true. You will have to work at it still though."
"I recently went surfing and surfed waves everyone else was afraid to. I was the man_comma_","Yes_comma_ I've been surfing for ever. Only three of us in the water. "
"I finally thought my dog how to sit and give me her paw. I felt very accomplished and happy!","I finally thought my dog how to sit and give me her paw. I felt very accomplished and happy!"
"My company will give us a bonus because the quarter was good. I am happy.","I just went on a vaction with my kids. Its was so relaxing. Have fun"
"What is the aim of this paper?","The aim of this paper is to show how to design algorithms for the problem of the distribution of the number of points of a series of triplets."
"i felt trusting when my dad and my mon care for me","Well as a fellow human being_comma_ I agree that when parents care for their children_comma_ it creates a lifelasting bond between the two parties."
"I am all packed for my vacation.  I don't believe I have forgotten anything for the trip but you never know.","I'm leaving for my vacation soon.  I have everything all packed and ready to go."
"I will finally be getting a new phone soon_comma_ and I can't wait because my old one is almost dead.","I have a lot of anticipation in me right now. I will finally be able to get a new phone after all these years."
"I was so thrilled to get concert tickets for a surprise show. It will be so fun!","The Strokes are playing this show on the fly in a month. It's so cool!"
"I was held my head high when my mother received her Master's Degree after getting a GED after high school.","Yes_comma_ it is great! Even better she just received her Master's Degree at the tender age of 50!"
"What is the definition of a bot?","A bot is a software application that is programmed to perform certain tasks."
"What is the name of the variable dummy?","The following table lists all the observations made by the /////////////////////////"
"What is the definition of blockchain?","The Blockchain Foundation is a non-profit organisation that promotes the use of Blockchain technology."
"What is the purpose of this paper?","The purpose of this paper is to show how to design algorithms for the number of points distribution problem in a series of triplets."
"I'm trying to save up money to buy a home by next year. If all goes well It can happen.","I am so excited. I'm thinking of all the things I want to do to it and I don't even know what it looks like yet."
"I am all packed for my vacation.  I don't believe I have forgotten anything for the trip but you never know.","I'm leaving for my vacation soon.  I have everything all packed and ready to go."
"I know I can make a lotta money on here if I keep working.","Well keep looking something is out there for you"
"I can't wait until Halloween. I love scaring the little kids who come to my house_comma_ muhahah!","Ha! I've always loved the more festive Dia de los Muertos approach to the day rather than scare or gore! What's your favorite Halloween film?"
"I am hoping to win the lottery this week!","I am hoping as well"
"When my first child was born I have never experienced so much happiness in my life.","Thank you! It is hard at times tho when getting little sleep."
"What is the definition of metadata?","Metadata is a term used in the software development industry."
"What exactly is the Internet of Things?","The Internet of Things (IoT) is an important technology in technology."
"I recently received my teaching certificate","thats so awesome good for you "
"I have my physics test tomorrow that I have been studying 10 days for_comma_ Never felt so ready in my life.","I have a physics test tomorrow. I think I can say that after 10 days of nonstop studying and copious amounts of adderall_comma_ I am finally ready."
"What is the definition of sobreajuste?","This video shows how to overfitting a computer model."
"What is the main new approach of the NCA?","The UK's National Crime Agency (NCA) has developed a new way to identify cyber threats. It uses machine learning to find patterns in data."
"Nephew playing football this year","That's exciting!  I hope he's doing well in school!"
"We recently went on vacation with some friends to Disney world.  They had never been before and we are annual passholders so we have been several times over the last year.","We had a really good time on our vacation a couple of weeks ago."
"I watched two of my daughters as they graduated from high school.","Oh_comma_ that's wonderful!  Tell them congratulations for me! You must be bursting with pride!  "
"Getting ready to file quarterly taxes and I have been very diligent with organization this year so I am prepared","How much stuff did you have to go through?"
"What is a computer scientist? A computer scientist uses data to solve problems.","Data science is a branch of computer science that uses data to make things work."
"Recently we decided to rescue another kitten. We were so thrilled to be adding another furry member to our family and save a life.","That is great! Adopt_comma_ don't shop! Always a great motto!"
"What is the name of the algoritm?","A cooking class is a chance for students to learn how to prepare a meal."
"I am confident my brother will beat his cancer.","I am confident my brother will beat this cancer."
"I started my driving class last week. I'll finish the class within a month and drive the car without any help of others.","Are you going to buy a car?"
