0.0 How about a modern european restaurant?	1.0 Yes, I can recommend darrys cookhouse and wine shop. Would you like me to make a reservation?
0.0 Hi! What is your name? 😂.	1.0 
0.0 I do like to talk about myself, i prefer being inside	1.0 hi what’s your name?
0.0 I need to book a taxi to come to Nandos City Centre. I need it here by 04:00.	1.0 I'd be happy to book that for you. Where will you be heading?
0.0 I am from india. I have never been there.	1.0 Do you like the pool?
0.0 Hi, I am a country singer.	1.0 I look forward to our next meeting!
0.0 Hi , Sarah . The results of questionnaire have come out . We need to discuss it together then write a research report . 	1.0  How is the new product ? 
0.0 Awesome!! Thank you for making this so easy.	1.0 You are most welcome. Do you have any other concerns or questions?
0.0  How much do you have to pay for the ticket ? 	1.0  If I remember correctly , it's about $ 130 . 
0.0  You are authorized to borrow up to 20,000 RIB , with a repayment period of up to 1 year . 	1.0  That'll be enough , and the repayment period sounds good to me . 
0.0 Yes, Can I get a different hotel in the same price range?	1.0 Booking for a and b guest house. Reference number: DLE4Z450 .
0.0 i am looking for a place to eat in the centre that serves creative food.	1.0 We have no restaurants that serve creative food anywhere in Cambridge. Can I find you a different style of restaurant in the center?
0.0 Yes, that would probably work. What time does the train departing at 11:01 arrive at Birmingham new street?	1.0 It arrives at 13:44. Would you like me to book this for you?
0.0  You have to call the office first . 	1.0  All right . Thank you very much for your help . 
0.0 Not at this time. I am also looking for a train that arrives in Cambridge by 08:15	1.0 Where will you be departing from?
0.0 I am looking for a place to stay. The hotel should have a star of 3 and should be in the moderate price range	1.0 I have 4 results for a moderate 3 star guesthouse, what area are you looking to stay in?
0.0  Yes , well , you haven't had one for 5 years . You should have one every year . 	1.0  I know . I figure as long as there is nothing wrong , why go see the doctor ? 
0.0 I want to book a table for 2 people at 19:00 on sunday.	1.0 Have you made the reservation?
0.0 Thank you. Goodbye.	1.0 You're welcome. Enjoy your trip.
0.0  But I don ’ t think we can change our working condition . Anyway , we are not the bosses . 	1.0  I heard some companies are providing stress management training and making changes inside them , like avoiding unrealistic deadlines and organizing relaxation activities . Our boss is a smart person . He will be learning from that if he would like to an efficient and healthy team . 
0.0 i am Joe	1.0 Hi, joe.
0.0 Thank You	1.0 You're welcome.
0.0 Hello, how are you?	1.0 im feeling fine
0.0 I'd like one near the museum in the south.	1.0 We only have one listing for an Italian restaurant in the south. It's located at Cambridge Leisure Park Clifton Way Cherry Hinton. Does this interest you?
0.0  I feel much better now . 	1.0  Have you received the reading material handed out yesterday ? 
0.0 I'm looking to find lodging in a hotel in the expensive price range	1.0 OK, I have five in several areas of town.
0.0 I also need a place to go in the same area as the hotel.	1.0 We have a couple swimming pools, a park, and a riverboat in the area, do you have a preference?
0.0 do you have any children  	1.0 i dont
0.0  Yes , please . 	1.0  Here you are . 
0.0 Yes, that would be fine. What's the train ID and travel time for that one?	1.0 the cambridge train leaves at 9:11 on sunday.
0.0 How is your English ability ? 	1.0  Not bad . I ’ m proficient in both written and spoken English . 
0.0 That was all I needed, thank you.	1.0 Thank you for using our system!
0.0 In that case, can you check and see if there is one in the type of boat?	1.0 Yes there is one. Camboats is located at the plough, green end, fen ditton.
0.0  to be honest , I'm a bit fed up . 	1.0  what's wrong ? 
0.0 Could you please book me a table for 3 people at 14:30 on Tuesday?	1.0 Certainly! You're all set. Your reference number is K7KOY3A5 and they'll hold your table for 15 minutes. Can I help you with anything else?
0.0 I just need the phone number	1.0 The phone number is 01223245151. Is there anything else I can help you with?
0.0 Excellent. What's the postcode?	1.0 The postcode is cb21tt. Is there anything else I can help you with?
0.0 is it difficult ?	1.0 It is. it is hard to do anything.
0.0 Can I get their phone number please?	1.0 There number is 01223307402
0.0  When is your Adult College Entrance Exam ? 	1.0  It's close coming up at the end of this month . That will be no more than 15 days from now on . 
0.0  That's right . Then you will follow the signs to Gate 85 . 	1.0  Thank you . You ' Ve been very helpful . 
0.0 Ok, that's awesome. Can you book me a room there for Saturday for 8 people and 2 nights?	1.0 I'm sorry. The booking was unsuccessful. Would you like to try for another day or a shorter stay?
0.0 That is all thanks.	1.0 You are welcome. Have a great day.
0.0 Hi! Howdy! 😎	1.0 Fine, how are you?
0.0 Are you here?	1.0 yes i am here
0.0  Did anyone approach you to ask you to carry anything for them ? 	1.0  No , sir . We left directly from the hostel . 
0.0 Can you give me information about the museum of classical archaeology?	1.0 The museum is located on Sidgwick Avenue in the west and it is free to get in. Do you need any other information?
0.0 That is the only thing I needed.	1.0 Thank you for contacting us. Have a great day!
0.0 I need to find a cheap place to eat in Cambridge.	1.0 I have lots of options for you. Do you prefer a certain area or type of food?
0.0 do you have any animals ?	1.0 No
0.0 Whazzup, dude. How are you?	1.0 I am good. i am a teacher.
0.0 I am a good listener .	1.0 Who is your favourite character?
0.0 Sure. I would like 5 tickets, please.	1.0 Good news! Booking was successful, the total fee is 375.5 GBP payable at the station . Reference number is : K5EOIMR6 . Is there anything else?
0.0 How about just one night?	1.0 I have you down for one night. Your reference number is NF64LM1Z . Anything else?
0.0  no way , Gordon . I know that you are a little short on cash at the moment . There's no need for you to pay for the whole bill . 	1.0  alright , if that's the way you are going to be , we'll split the bill . 
0.0 Are there any Japanese restaurants in the same area and price range?	1.0 Wagamama is a Japanese restaurant in the centre area in the expensive price range.
0.0 Yes, I would prefer a moderate price range.	1.0 The Acorn Guest House appears to meet your Criteria. Would you like more details on this hotel?
0.0 I am looking for a place to stay. I need a 2 star hotel with free parking.	1.0 Do you prefer the north or east side of town?
0.0 Yes, please. Can I get a room for 4 people? We'll arrive on Wednesday and stay 5 nights.	1.0 Done! You have a reservation at the Alpha-Milton Guest House. Your reference number is 9SA494XR . Can I help you with anything else?
0.0 Thank you, this is the end of the dialogue.	1.0 You are very welcome.
0.0 i need a hotel in the north	1.0 There are 11 guesthouses and 2 hotels. Did you have a preference?
0.0  Well , I personally don't like them because I don't believe that they are healthy . 	1.0  I guess you're right . More often than not , people go there only for convenience . The foods may taste good , but generally speaking , they are high in calories , salt and fat . 
0.0  You must have spent much time on the project . 	1.0  Yes . I have a great team working with me . 
0.0  That's a good idea . We haven't seen a film for ages . What would you like to see ? 	1.0  Oh I don't know . Titanic ? 
0.0  Well , I do not know Chinese tea at all . 	1.0  This is green tea , you can drink it in summer . It can relieve summer-heat and it is good for maintaining your lungs . 
0.0 I am a teacher, but i am a teacher. Are you a woman?	1.0 i looking for a new job
0.0 ok, thank you very much	1.0 Is there anything else I can assist you with today?
0.0 Yes that works please book for 5 people.	1.0 You are set, reference number is 5S55128O, any other questions
0.0  What kinds of workshops are available at the EDD ? 	1.0  We have workshops in Resume Writing and Interviewing , to name a few . 
0.0 Thank you so much!	1.0 You're welcome. Goodbye.
0.0 Mrs . Phoebe , let's talk about the delivery arrangement for our goods . 	1.0  Sure . What's your date of delivery ? 
0.0  What information will I need to provide on that form ? 	1.0  They will need to know where you worked and how much money you made . 
0.0  I'm throwing a party on Friday . 	1.0  That sounds like fun . 
0.0  I'm not sure . 	1.0  When I want Chinese food , I go to Panda Express . 
0.0 What is the price range?	1.0 It is expensive.
0.0 Hello	1.0 hello   i do   reading and gardening  
0.0 No that is all I need today. Thank you for the help.	1.0 Great, thanks for using our service. Have a great day.
0.0 A hotel, please. For 4 people and 4 nights.	1.0 I have 2 options here. May I suggest ashley hotel? Shall I go ahead with the booking?
0.0  I see . I think the biggest environment problem in my country is air pollution . 	1.0  Yes , I agree . The air here is much more polluted than in my country . Of course , my country is more agricultural and has much less industry . 
0.0 Yes please book it for 8 people.	1.0 Booking was successful, the total fee is 241.92 GBP payable at the station .Reference number is : PLE2777Z
0.0 it is good man i got nothing to do so i try to talk with bots they are sometimes not answering	1.0 i teach it , i can help you
0.0 That is great! I love dogs!	1.0 Me too do you like dragons
0.0 Another, same area and price range please.	1.0 zizi cambridge is available. It is also a cheap Italian restaurant in the centre. Your reservation is for Wednesday at 17:15 for 6 people. Your reference number is CRW6R09Z .
0.0  Now you are with Quandong Company . What is your chief responsibility there ? 	1.0  I'm in charge of marketing activities in South-East Asia , for example , organizing trade conferences and arranging exhibitions . 
0.0 Yes that sounds like a great place to visit.	1.0 Anything else you need?
0.0  Are you sure ? 	1.0  Of course ! Swimming can help you stay in shape by targeting all parts of your body . 
0.0 What's the phone number, address, and post code?	1.0 The telephone number is 01223358966, address Parkside, Cambridge with postcode CB11JG
0.0 Can I have the postcode for that pool please?	1.0 The postcode for Jesus Green outdoor pool is cb43px. Is there anything else I can help you with?
0.0  Well , let's stop dragging our feet and find a Sichuan Hotpot restaurant for dinner ! 	1.0  Let me think about it for a minute . Let's see ... oh the name of the restaurant is on the tip of my tongue ! Give me a second and it'll come to me . 
0.0 Where is the restaurant called Tandoori Palace?	1.0 You can find tandoori palace in he west. Need a reservation?
0.0 Yes I would like to book it for 8 people and I will need the reference number.	1.0 Sure, I have booked your tickets for 8 people, your reference number is : T6B9UNBQ .
0.0 Is it located in the west?	1.0 Curry Prince is in the east. If you need someplace in the west, I recommend Meghna.
0.0 I'm planning a trip to Cambridge, I would like to visit multiple sports in the east area.	1.0 the cherry hinton village centre is in the east area would you like the phone number?
0.0 Either we'll be millionaires , or we won't ... won't have a dime . 	1.0  And it's all coming down to the next three weeks . 
0.0 That is all I need. Thank you so much!	1.0 You're welcome. Have a great day!
0.0  What kind of activity would make you get involved ? 	1.0  None , I guess . My only passion is on reading . 
0.0 Searching for peer. Please wait...	1.0 Partner found!
0.0 Thank you. I also need a place to dine in the Centre area that serves Asian Oriental food.	1.0 There are 4, all in centre city. Is there a particular price range you'd like?
0.0 Excuse me , Professor , I have a problem and need to leave class early . 	1.0  Why do you have to leave early ? 
0.0  I guess I'll wait a few more days . There maybe even bigger discount then . 	1.0  But there won't be anything good left . 
0.0 Hello, I am looking for a moderately priced restaurant on the east part of town.	1.0 Do you have a preference on type of food?
0.0 I would like to go to great saint mary's church.	1.0 I booked you a black bmw at with a contact number of 07939407760. Is there anything else?
0.0 Sorry. I am interested in finding a museum to attend and would need the postcode and phone number.	1.0 There are 5 museums, 4 of which are free and one costs 3.50 pounds. Do you know which area you would like?
0.0 I would like an expensive restaurant that serves turkish food	1.0 I'm sorry, we don't have any expensive Turkish restaurants.
0.0 Thanks. I also need to find a cheap restaurant in the same area.	1.0 i have 15 cheap restaurants in the centre of town. what type of cuisine would you like?
0.0 Can you help me find a train leaving on sunday after 12:00.	1.0 I'd be happy to help you find something. Can you tell me where you will be departing from?
0.0 no that will be all thank you	1.0 Great! Have a great day!
0.0 Did you go to the concert last weekend ? 	1.0  No , I didn't . And you ? Was it good ? 
0.0 You?	1.0 I am good, just listening to some music
0.0  Right . Excuse me . Mrs . Jones ? 	1.0  That's right . 
0.0 that is it for today. have a great day	1.0 I'm glad I could help.
0.0 Food is less expensive in a cafeteria , because you serve yourself . 	1.0  How to do it ? 
0.0 I'm looking for a 2 star hotel.	1.0 There are 3 hotels that have a 2 star rating. Is there a price range you are wanting?
0.0 I was activated in 1995.	1.0 i’m 40
0.0 I'd like Persian food.	1.0 I'm sorry I have no restaurants serving Persian food.
0.0  Dude , where are we at ? 	1.0  I have no idea . 
0.0  No problem . See you ! 	1.0  See you ! 
0.0 I am also looking for a particular hotel named huntington marriott hotel.	1.0 The Huntingdon Marriott Hotel is a beautiful and expensive hotel in the west. They have a 4-star rating and offer both free wifi and free parking.
0.0  I did experience a winter with snow in Kunming , the Spring City . 	1.0  With snow in Kunming ? That's crazy ! 
0.0 Is there any architecture attraction in the city Centre?	1.0 There are 5 great places to visit in the centre. My favorite is All Saints Church, would you like the address?
0.0 goodbye	1.0 no my parents are legit . as are my children . you have kids ?
0.0 I am doing well. Just got done with my workout. Are you a cancer survivor?	1.0 no i am not
0.0  I'd like to stay there for a week . 	1.0  So you'll have a tour of the famous city . 
0.0 Yes, I love museums.	1.0 What side of town would you like to be on?
0.0 I'd like a taxi to the cafe jello gallery please.	1.0 I would be happy to help you with that. I will need to know where you are departing from and what time you'd like picked up.
0.0  let ’ s go and get a coffee together . That will help you to wake up again ! 	1.0  ok . I feel like sitting down and having a chat . How have you been recently ? 
0.0  No , you haven ’ t . You just don ’ t care about me . You ’ re an indifferent husband . 	1.0  What day is it on earth ? 
0.0  Double A , R , O , N . Thank you , Mr . Johnson . May I know your arrival time on April 16th ? 	1.0  Around 9 p . m . 
0.0 Evening. I work at music recording studio	1.0 i record 📔 music for everyone to enjoy in my studio
0.0 That's all I needed, thank you!	1.0 What day and time would like for me to book?
0.0 That's great! May I also have the area that Williams Art and Antiques is in?	1.0 It is in the centre of town. Is there anything else I can help you with today?
0.0 Sorry, I misspoke. I need a taxi from the attraction to the restaurant, please, leaving by 06:30.	1.0 Ok we have a taxi booked between Kohinoor and Royal Spice, a red Toyota. Contact number is 07391598275
0.0 What's wrong , Dave ? You look down today . 	1.0  I didn't pass the English exam . How to learn English well ? Can you give me some suggestions ? 
0.0 Howdy, I'm looking for a British restaurant for breakfast.	1.0 There are several British restaurants available. Would you prefer a moderate or expensive price range?
0.0 She is so stupid . 	1.0  Who cares ? She is pretty . 
0.0 What is the postcode for that? I am also looking for an indian restaurant near the nightclub, are there any?	1.0 I can only process one at a time would you like the post code or the nightclub info?
0.0 You can decide please. I need to book it for 8 people and 2 nights starting Friday please. I'm looking forward to this!	1.0 Ok, the booking was successful for the allenbell guesthouse. 517a coldham lane, cb13js, phone:01223210353. The reference number is : WFFLJRT2 .
0.0  Who ? Me ? Could't give up smoking ? Nonsense ! Of course I could ! I know I could ! 	1.0  How do you know ? 
0.0 thank you, that's all I need!	1.0 Enjoy your trip!
0.0  Please show me your passport and Residence Permit . 	1.0  Here you are . 
0.0 The Maharajah Tandoon sounds perfect. Can I get the information for them?	1.0 the maharajah tandoori restaurant serves expensive indian food. Their address is 41518 Castle Street City Centre. Their contact number is 01223358399. Would you like me to make a reservation?
0.0 Good Evening, I am looking for a place to stay that includes free parking	1.0 Okay, I have 29 options for you. Is there an area of town that you'd prefer to stay in?
0.0 Can you recommend an eritean or british restaurant in the centre area?	1.0 I recommend the oak bistro. It is a british restaurant in the centre.
0.0  Usually it's the older kids going around playing Halloween , like punching the pumpkins left outside people's doors or - - someone's tree . They usually do it late at night after little kids go 	1.0  That sounds kind of fun , maybe I can get tighter with my friends that night . 
0.0 Yes, I need to book it for 5 people.	1.0 The alexander bed and breakfast is a 4 star facility with internet and free parking. Their number is 01223525725. What day would you like to arrive?
0.0 What is the entrance fee and phone number?	1.0 They have free entrance. Their phone number is 01223332320.
0.0 Happy Valentine's Day ! 	1.0  That's nice of you . 
0.0 I am looking for a hotel called Autumn House.	1.0 Autumn House is a cheap, 4-star guesthouse on the east side. It's located at 710 newmarket road, cb58rs.
0.0 I'd like to leave on Thursday.	1.0 There are no trains leaving at that time.
0.0 That sounds great. Can you book me a table there for 3 people?	1.0 They seem to be booked solid for the next week, which is all I can book for. Their phone number is 01223362433, if you would like to call for a reservation.
0.0 no that takes crare of it	1.0 Thank you for using the Cambridge TownInfo centre!
0.0 No, thanks. I have everything I need.	1.0 Ok! Have a great day!
0.0 Yes, I'm looking for a moderately priced restaurant with British food.	1.0 I can recommend Restaurant One Seven. Would you like to book a table with them?
0.0 Are there any British restaurant that serve moderate priced food?	1.0 There are 5 available. Do you prefer the area of centre or west?
0.0  Yes , because I love yours . 	1.0  I purchased mine from IKEA . 
0.0 Don't I know you ? 	1.0  I'm not sure.You look familiar . 
0.0 Thanks for handling that. One more thing. I want to explore town and see an attraction. I love theatre.	1.0 Is there a particular area you're looking for a theatre in?
0.0 Excuse me , we have book table 6 . Would you please come and tidy the table ? 	1.0  OK , sir . We will be there right now ... sir , your table is ready . 
0.0 What are the expensive Chinese restaurants that are available?	1.0 After checking again, I do have 1 that serves North American food in the centre area. Would that interest you?
0.0  How do you use a public phone ? 	1.0  For a local call , just insert 35 cents in the slot and use it in the same way as your home phone . Inquiries are free from a public phone . 
0.0 I guess I'd better go now . 	1.0  I've got to be going now too . 
0.0 Can you give me their entrance fee and phone number?	1.0 no problem. Their phone number is 01223324222 and the entrance fee is free.
0.0  Okay , I'm sorry . I believe you . 	1.0  Why do you always accuse me like that ? 
0.0 I will be departing from Peterborough after 8:30.	1.0 What is your destination?
0.0 For example I always wear my helmet.	1.0 I like to swim and run😃
0.0 Don ’ t you have air-conditioning in your apartment ? It ’ s sweltering here ! 	1.0  Well , there is air-conditioning . Did you see that window air conditioner there ? The problem is that the window unit isn ’ t powerful enough . 
0.0 i usually go camping	1.0 where to?
0.0 Well hello there!	1.0 hello sir how it is going
0.0 Thank you for your time goodbye!	1.0 thanks for using our services
0.0 Honey , could you help me here a minute ? 	1.0  Sure , sweetie.What are you doing ? 
0.0 Oh, I don't need to book any tickets, I would just like to know the the departure time, price, and travel time, please.	1.0 Both options cost 37.80 Pounds, and take 105 minutes. One leaves at 5:09, the other at 6:09. Can I help you with anything else?
0.0  I think his house is fantastic , but I wouldn't want to live there . You would have to hire one or two people to clean all the rooms in the house , plus a few people to take care of the gardens , and pro 	1.0  what's your dreamhole like then ? 
0.0 Okay great. That is all I need.	1.0 Wonderful, have a great day.
0.0 I need one in the moderate price range and a guesthouse would be great.	1.0 I have 12 results here. Do you prefer one with a certain number of stars or in a certain area?
0.0  Do you have his card ? What's in his portfolio ? Which firm has he worked for in the past ? 	1.0  He's done staff for Microsoft and Boeing . I think he's been involved with Siemens ' training evaluations as well . I'll get you his card , you can give him a call . 
0.0  Well , you're no gentleman , either . 	1.0  Okay , lady , just to show what a gentleman I really am , I'll let you go in front of me . Now , just buy your ticket and shut your trap , will you , lady ? 
0.0 Have a good day. Bye.	1.0 Thank you for choosing Help Desk.
0.0 I love it. i have been there many times to be a week.	1.0 Okay. I need to go now.
0.0 I find that every employee here respects that manager very much . 	1.0  Yes . He carries a lot of weight . Everyone here is willing to follow his orders . 
0.0  Do you like it there ? 	1.0  It's okay . It's a really big campus . 
0.0 London Kings cross is where Ill be leaving from	1.0 TR7931 leaves at 15:17 and arrives at 16:08. Would you like to book a seat?
0.0 Sounds great! Can you make a reservation for 6 people at noontime on Sunday?	1.0 Reservation for sunday at 12:00 for 6 is made, her is your reference number: 2FWJ0KXT . Is there anything else I can help with?
0.0  thank goodness we're not rich and famous ! 	1.0  being famous , I can do without , but I wouldn't mind being rich . 
0.0 What is the travel time for that one?	1.0 It's 28 minutes. It's very fast.
0.0 That is perfect how much is it and what time does it leave? Also how long is the ride?	1.0 It leaves at 14:34 and the ride lasts 50 minutes.
0.0 Yes and could I have the reference number after?	1.0 Great, I have booked your ticket, your reference number is : NJRE41ZT . May I help you with anything else today?
0.0  That might be the artificial lighting , madam . Of course , if you could come back in daylight , you might find it ’ s exactly what you are looking for . 	1.0  There it is . That is the pattern ! The set behind you . Thank goodness , they haven't been sold . And thank you so much for being so patient with me . Yes , those are the ones . 
0.0  Thanks a lot , Mrs . White . 	1.0  You are welcome . 
0.0 are there any expensive restaurants? in the same area as the hotel?	1.0 What kind of cuisine do you want?
0.0 Great, can you tell me where the scott polar museum is please?	1.0 It is located on Lensfield Road in the Centre.
0.0 Restaurant Alimentum sounds interesting. Can you get me a table for 3 at 14:45 on Friday?	1.0 Your reservation is all set. Your reference number is R5SKT4Z3 . Do you need anything else?
0.0  Because I need to use the restroom . Is there a restroom on the train ? 	1.0  No , not on the train , but in the station . 
0.0 No thank you.	1.0 Is there anything else I can do for you?
0.0 i need a college to visit in Cambridge	1.0 I have a number available to visit. My favorite is Christ's College at Saint Andrew's Street. It's free to get in. Is that okay?
0.0 Yes, I'd like the phone number and postcode.	1.0 The phone number is 01223902091 and the postcode is cb43ax.
0.0  Well , this is my new baby . He ’ s just as much trouble . That ’ s for sure ! But , he ’ s a lot of fun ! 	1.0  I see what you mean . He ’ s really cute . How old is he ? 
0.0  Okay . 	1.0  So I'll see you tomorrow then at 8 . 
0.0  Good . I'll get my coat and come downstairs . 	1.0  The taxi will be ready when you are , sir . 
0.0 No, thank you. I need to consult with my friends first. Can you please give me their phone number?	1.0 Yes. Their phone number is 01223367755.
0.0  Good . Let me give you my credit card number to reserve a room . 	1.0  Thank you . Your confirmation number is 611273 . 
0.0 I am a huge fan of all types of things except country	1.0 I am not a musician but i love music
0.0 The area doesn't matter	1.0 My favorite is the Funky Fun House in the east. Would you like their address or phone number?
0.0 The Museum of Archaelogy and Anthropology sounds good. Can I get the phone number?	1.0 Their phone number is 01223333516
0.0 Yes I will also need to book a taxi from Rosa's for 04:45.	1.0 Just to confirm, you want a taxi from Rosa's to Christ's College with a departure time of 04:45, correct?
0.0 Yes, I need to arrive in Peterborough by 13:45. How long is the train ride?	1.0 The train ride is 50 minutes long. TR6310 leaves at 12:34 and arrives at 13:24. Would you like me to book you a ticket?
0.0 As long as it has free parking and internet that will be fine.	1.0 Yes it does have both free internet and parking. Can I help you make a reservation?
0.0 i'm okay. how are you?	1.0 I'M doing great! just got done with a new job.
0.0  I don't know what to do about it . 	1.0  Well , there are two things you can do.First , don't blow-dry your hair for so long after you shower . Let it dry naturally.That is easier on the hair , so you won't get split ends.Second , buy a g 
0.0 No, that's all the information I need right now. Thank you for your help!	1.0 please contact us again in the future. goodbye.
0.0 ?	1.0 nooo9
0.0 I am looking for a palce to stay in cambridge that includes free parking and has a 4 star rating	1.0 I have 19 results. Would you prefer a certain area or price range?
0.0 I do! i have a lot of friends.	1.0 How are cars and friends connected?
0.0 What can I do for you ? 	1.0  I'd like to buy a keepsake for my girlfriend . Could you make a recommendation for me ? 
0.0 I need one in the south of town.	1.0 I'm sorry, there are no moderately priced hotels in the south part of town that have 4 stars. I do have a guesthouse that matches those parameters, would that do?
0.0  How do I use it ? 	1.0  First connect your laptop to the cable in the desk . Then open up your web browser . 
0.0 In Cyprus? I'm on a log, and you're in Cyprus?	1.0 That was funny
0.0 I hear you ’ re taking a music class . I didn ’ t know you ’ re interested in it . 	1.0  Oh , I ’ m not . I ’ Ve never had a music class before . 
0.0  Yes , I have been thinking about it for quite a while . Now I finally make up my mind to leave . I have given my resignation letter to our boss last Friday . 	1.0  Ok , did you find a new company ? 
0.0 thank you very much.	1.0 Can I help you with anything else?
0.0 Great! Now could you help me book a train from Stevenage going to Cambridge on Wednesday?	1.0 TR9675 leaves Stevenage at 15:54 and arrives in Cambridge at 16:43. Will this work for you?
0.0 Are there any good restaurants to go to near the college?	1.0 Sure, I can help you with that. Is there a particular type of food you were interested in?
0.0  Can you describe a mango to me ? 	1.0  It's a fruit a little smaller than a grapefruit . It has a big seed in it . 
0.0 Yes. It's called the Golden Wok.	1.0 Ok. Golden Wok is located at 191 Histon Road. Would you like me to book a table for you?
0.0 I am a programmer	1.0 That is cool. I am a student .
0.0  Go ahead . 	1.0  Thank you . 
0.0 I don't think it's a good idea.	1.0 you are really funny
0.0  Really ? I thought Barcelona was going to win . They are a much better team than Madrid . 	1.0  If Barcelona had played as they normally do , they should have won . 
0.0 i think i will stick with that . i am not sure if i had to do that	1.0 What is your favourite food?
0.0 I am good. I am a boy.	1.0 You said you are girl
0.0 Which one would you like to book?	1.0 That's all up to you!
0.0  You forgot ? You ... 	1.0  Ah , ah , you promised , and remember ? 
0.0 Could you give me the address and postcode of the Warkworth House please?	1.0 Absolutely. It is in Warkworth Terrace, postcode cb11ee.
0.0 Please book the one that has free parking.	1.0 Both hotels have free parking. What day, time and how many people would you like to make this booking for?
0.0 That is cool. I am watching a movie called malibu. Do you like playing basketball🏀?	1.0 i like basketball and nascar driving
0.0 Yes book for 8 people for 2 nights starting on Tuesday.	1.0 Booking was successful. Reference number is : IV8NUJOU . anything else?
0.0 That won't be necessary but thanks anyway. Although, I could use some help finding an attraction in the centre of town.	1.0 There are many attractions. Churches, cinemas, colleges, and art gallery's. Do any of those sound appealing?
0.0 Sounds wonderful! Can you give me their postcode?	1.0 Their postcode is cb13ew. Can I help you with anything else today?
0.0  I'll get knee to knee with her . 	1.0  Good boy . I can only imagine how happy she will be to see you . 
0.0 What sort of restaurants do you have in the centre of town? Anything expensive?	1.0 There are 33 options. Do you have a food type in mind?
0.0  Did you have anything particular in mind ? 	1.0  No , but I'd like to get something typical in this region . 
0.0  John Smith . 	1.0  One moment please . Very well , Mr . Smith . I need to ask you a few questions . 
0.0 I am looking to stay for 1 person, 4 nights, starting wednesday.	1.0 I'm sorry, but they don't have a room for that long. Would you like to shorten your stay?
0.0 i am a librarian	1.0 What got you interested in librarian ship?
0.0 Do you know his sister ? 	1.0  Her name is Laura , isn't it ? 
0.0 Hi, I am looking for a restaurant that is expensive and serves European food.	1.0 I show 5 listings. Would you like a certain area of town?
0.0 Who will meet you at the airport ? 	1.0  No one . 
0.0  Yes . But I still have some difficulties it breathing . 	1.0  Say , kid , keep on practicing , you're sure to be a first-class swimmer . 
0.0 Yes, that's fine, thank you! That's all I need.	1.0 Thank you for using our service today.
0.0 Thanks so much, no that will be all.	1.0 I am glad I was able to accommodate your needs.
0.0 That train is leaving from Cambridge on Sunday, correct?	1.0 With your new criteria, that train won't work anymore, but there are other options. What is your preferred departure time?
0.0 Great can you please book that for me, and give me the reference number	1.0 I managed to book your table and your reference number is 5ISFHKR3 . Can I help you with anything else today?
0.0 his name is korn after my favorite band haha. do you have any hobbies ?	1.0 i love going to the park with my three children and my wife.
0.0 The 15:35 will be fine. Please book that for four people.	1.0 Okay, I have four tickets booked on the 15:35 train from Ely to Cambridge on Wednesday. Total is 17.6 GBP, reference number UKD02OC6 . Anything else I may help with?
0.0  Well , I'd like to change the date to March 20 , and make that for two singles , not one . 	1.0  Very well . That can be arranged . 
0.0 I would like to eat Italian food. I'm looking for something in the moderate price range please.	1.0 There are five moderate priced Italian restaurants is there any area you prefer to eat in?
0.0 how about turkish food?	1.0 There are 3 turkish restaurants in the centre. Do you have a price range in mind?
0.0  Do I have to have a computer at home ? 	1.0  There are computers at our EDD offices for you to use in your job search . 
0.0  Yes , I was just wondering how you and your roommate were planning on coming to my place . 	1.0  We were planning on walking both ways since the weather is still nice . 
0.0 georgia and where are you from  	1.0 i live in london
0.0 Can you suggest something to do on the east side of town?	1.0 There are a lot of things to do. What would you like ?
0.0 That sounds good. Can you tell me the entrance fee and phone number?	1.0 Sure thing! It has free admission and their phone number is 01223464646. Is there anything more I can help with today?
0.0 Awesome, thank you! That's all I needed to know. Have a good evening.	1.0 You're quite welcome. Good bye.
0.0 Sorry . I've got to run . 	1.0  OK . See you . 
0.0 May I take your order now ? 	1.0  Yes . Do you have any specials today ? 
0.0 I am so sorry to hear that	1.0 yeah you are
0.0 Yes, please. for 5 people at 15:15 on saturday.	1.0 Done! Your reference number is C3YO3LS0 . Your table will be reserved for 15 minutes. Can I help you with anything else?
0.0  Uh-oh ! I can't use Ethernet . My computer is wireless only . 	1.0  That's okay . I can tell you about some alternatives we have . 
0.0  Yeah , and I love your cooking . 	1.0  Don't give me that . If you're hungry , then cook dinner . 
0.0  No , thank you . I'm just looking for a black pair . 	1.0  Let me go to the back and get them . I'll be right back . 
0.0 Hello, I'm looking for a hotel in the north, and I'd like the more expensive range please.	1.0 I'm sorry, but there are no expensive hotels in the north area. Could I check for one in the moderate price range for you?
0.0 I'm terribly nervous . 	1.0  Calm down ! 
0.0  Here , I ’ ll help you type one up . 	1.0  Thanks , Mary . You ’ re a real pal . I ’ ll call now to set up an interview . 
0.0 Please excuse me , but I really have to be going . 	1.0  Yes , of course . It was nice to see you . 
0.0 Oh honey , I tell you good news . The apartment I looked at today was pretty decent , around 120 square meters . 	1.0  Great . What about the surrounding area ? 
0.0 Can you provide me with the telephone number and book two taxi cabs to the restaurant	1.0 Tandoori Palace's phone number is 01223506055. Please give me the taxi departure day and time and I'll be more than happy to book one for you
0.0 Thanks. Have a good rest of the day.	1.0 Thank you, you too.
0.0  I know , but chocolate cake is even better . 	1.0  Oh , stop it ! You know you need vegetables . You will end up fat if you don't watch your diet , now . 
