,source,target
234,In this course we will learn how to use what type of data structure?,In this course we are going to learn how to use a tree as a data structure.
235,Farai Sevenzo looks at one of the most common problems faced by African journalists.,"In our series of letters from African journalists, filmmaker and columnist Farai Sevenzo looks at one of the most common problems faced by African journalists:"
236,What is it called when a set of data is transformed into an alphanumeric code of fixed length?,A Hash Function is a mathematical function that transforms a set of data into an alphanumeric code of fixed length.
237,What technology is changing the way we live?,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at how the internet of things (IoT) is changing the way we live."
238,What transforms a set of data into an alphabetic code of fixed length?,A Hash Function is a mathematical function that transforms a set of data into an alphabetic code of fixed length.
239,In what part of the text will we learn how to solve a factorial with two Facts and a Rule?,In this lesson we are going to learn how to solve a factorial with two Facts and a Rule in Prolog.
240,"What does Ahmed Rashid call the ""overfitting"" in AI?","In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of ""overfitting"" in artificial intelligence (AI)."
241,What is the term for a piece of computer equipment used to process data?,A graphics processing unit (GPU) is a piece of computer equipment used to process data.
242,What technology does Farai Sevenzo look at?,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at the future of metaverse technology."
243,What is an important part of AI?,"Generative models are an important part of artificial intelligence, and their use is growing."
244,What type of variable is created when the original variable can't be used?,A Dummy Variable is a variable that is created when the original variable can't be used.
245,Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists: failure to identify a pattern?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists - failure to identify a pattern."
246,What is a formal model of computation capable of performing any computation?,A Turing machine is a formal model of computation capable of performing any computation (that a computer is capable of doing this theoretical model).
247,What is the hierarchy of the human mind?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the hierarchy of the human mind."
248,What is another term for a mathematical function that transforms a set of data into an alphabetic code of fixed length?,A Hash Function or Summary Function is a mathematical function that transforms a set of data into an alphabetic code of fixed length.
249,What does Ahmedou Ould-Abdallah look at in his series of letters?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at the meaning of sugar."
250,Ahmed Rashid looks at the future of what type of technology?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the future of metaverse technology."
251,What type of system has a computational power equivalent to theUniversal Turing Machine?,A Turing Complete system is one that has a computational power equivalent to theUniversal Turing Machine.
252,What is the problem of overfitting?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the problem of ""overfitting"" in computer science."
253,What is another name for virtual reality?,Augmented Reality (AR) and Virtual Reality (VR) are two of the most popular forms of technology in the world.
254,"What is the name of the robot created by scientists at the University of California, Los Angeles?","Scientists at the University of California, Los Angeles, have created a new type of robot."
255,"In this class, we will learn how to use what to solve common problems?",In this class we will learn how to use a tree to solve some common problems.
256,What is the name of the report that Research and Markets has added to their offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global-green-computing-research) has announced the addition of the ""Green Computing"" report to their offering."
257,What test did DeepMind pass?,An artificial intelligence (AI) system called DeepMind has passed the Turing Test for the first time.
258,In this class we will learn how to use what to solve common problems?,In this class we are going to learn how to use a tree to solve some common problems.
259,What report has Research and Markets added to their offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global-green-computing) has announced the addition of the ""Green Computing - Research and Markets"" report to their offering."
260,What is a formal model of computation capable of performing any computation according to their complexity?,A Turing machine is a formal model of computation capable of performing any computation (that a computer is capable of performing this theoretical model) according to their complexity.
261,What is a technique that allows to train an algorithm in a way using its own data?,"Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private or local)."
262,Ahmedou Ould-Abdallah looks at one of the most common problems faced by researchers in the field of artificial intelligence.,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at one of the most common problems faced by researchers working in the field of artificial intelligence."
263,There is a growing demand for what type of scientist?,There is a growing demand for data scientists across the world.
264,What report has Research and Markets added to their offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global-green-computing) has announced the addition of the ""Green Computing"" report to their offering."
265,There are many different types of what?,"There are many different types of intelligent agents, but they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all have one thing in common - they all all have"
266,What test did DeepMind pass for the first time?,"An artificial intelligence (AI) system called DeepMind has passed the Turing Test for the first time, according to BBC News."
267,What does Ahmed Rashid think is important in machine learning?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of overfitting in machine learning."
268,Ahmedou Ould-Abdallah looks at what technology that is changing the way we live?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at how the internet of things (IoT) is changing the way we live."
269,"What is a data structure that relates a value called ""key"" to one or more elements?","A Hash Table is a data structure that relates a value called ""key"" to one or more elements."
270,What are an important part of computer science and artificial intelligence?,Generative models are an important part of computer science and artificial intelligence.
271,What are rules of association?,Association rules are a set of rules that can be used to classify data.
272,What is the term for the internet of things?,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at how the internet of things is changing the way we live."
273,What does Ahmed Rashid look at in his letters to African journalists?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the tree of decision."
274,What report did Research and Markets add to their offering?,"Research and Markets (http://www.researchandmarkets.com/reports/global...) has announced the addition of the ""Green Computing"" report to their offering."
275,What is the process used to make croquettes?,Algorithm for making croquettes: Step 1: Chop the ham into small pieces.
276,What type of revolution does Ahmed Rashid look at?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the big data revolution."
277,What branch of science deals with the analysis and management of large amounts of data?,Data Science is a branch of science that deals with the analysis and management of large amounts of data.
278,What is a system called that has a computational power equivalent to the Universal Turing machine?,A Turing Complete system is one that has a computational power equivalent to the Universal Turing machine.
279,In this class we will learn how to use what to solve common problems?,In this class we will learn how to use a tree to solve some common problems.
280,What does Ahmedou Ould-Abdallah look at in his series of letters?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at some of the ideas behind metaverses."
281,"What is a technique that allows to train an algorithm in a way, using its own data and only sharing it with other users?","Federated Learning is a technique that allows to train an algorithm in a way, using its own data (private and local), and only shares it with other users."
282,In what part of the text will I show you how to solve a factorial?,In this tutorial I will show you how to solve a factorial with two Facts and a Rule in Prolog.
283,Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at one of the most common problems faced by African journalists:"
284,In what program will we learn to solve a factorial with two Facts and a Rule?,In this lesson we are going to learn how to solve a factorial with two Facts and a Rule in PROLOG.
285,Ahmed Rashid looks at the future of what kind of world?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the future of metaverses."
286,Ahmedou Ould-Abdallah looks at the future of what type of technology?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at the future of metaverse technology."
287,What does Ahmed Rashid think is important in artificial intelligence?,"In our series of letters from African journalists, film-maker and columnist Ahmed Rashid looks at the importance of overfitting in artificial intelligence."
288,What is the name of the type of artificial neural network?,Autoencoders are a particular type of artificial neural network that is divided into two parts: the encoder and the decoding decoder.
289,What is an important part of artificial intelligence?,"Generative models are an important part of artificial intelligence, and their use is growing."
290,What does AR stand for?,Augmented Reality (AR) and Virtual Reality (VR) are two of the newest technologies in the world of entertainment.
291,What is a piece of computer equipment used to process data?,A Graphics Processing Unit (GPU) is a piece of computer equipment that is used to process data.
292,What is a set of rules that govern the classification of data sets?,Association rules are a set of rules that govern the classification of data sets.
293,What is a system for digital transfer?,"Blockchain is a system for digital transfer based on the distribution of information in several independent computers that register and validate such information, eliminating intermediaries."
294,In what part of the text will I show you how to solve a factorial with two Facts and a Rule?,In this tutorial I will show you how to solve a factorial with two Facts and a Rule in Prolog.
295,What is a device that uses a table of rules to manipulate symbols on a data tape?,A Turing machine is a device that uses a table of rules to manipulate symbols on a data tape.
296,What is the hierarchy of a tree?,The hierarchy of a Christmas tree is an interesting concept.
297,"Along with big data, what type of data is there?",There are two main types of data: smart data and big data.
298,Ahmedou Ould-Abdallah looks at one of the most common problems faced by those working in the film and television industry?,"In our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks at one of the most common problems faced by those working in the film and television industry:"
299,What is a computer program that can perform repetitive tasks?,"A bot is a computer program capable of performing repetitive tasks and usually operates on the Internet or simulates the behavior that a person would have, doing the same thing, but automatically."
300,Big data and what other type of data are there?,There are two types of data: smart and big.
